time,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,cloud_cover,wind_speed_10m,wind_gusts_10m,precipitation,rain,weather_code
2024-01-01T00:00,17.6,91,16.1,914.0,9,14.2,23.0,0.0,0.0,0
2024-01-01T01:00,16.9,97,16.4,913.5,42,14.4,23.8,0.0,0.0,1
2024-01-01T02:00,16.6,99,16.5,913.1,100,14.4,23.8,0.0,0.0,3
2024-01-01T03:00,16.9,99,16.7,912.9,100,15.1,28.1,0.0,0.0,3
2024-01-01T04:00,17.2,95,16.5,913.3,100,14.4,26.3,0.0,0.0,3
2024-01-01T05:00,17.3,93,16.1,913.7,100,12.0,24.8,0.0,0.0,3
2024-01-01T06:00,16.9,94,15.9,914.4,89,9.7,20.9,0.0,0.0,3
2024-01-01T07:00,17.4,89,15.6,915.3,93,13.0,21.2,0.0,0.0,3
2024-01-01T08:00,19.6,75,15.1,916.3,93,13.7,26.6,0.0,0.0,3
2024-01-01T09:00,21.9,65,14.9,917.2,61,12.4,27.4,0.0,0.0,2
2024-01-01T10:00,24.0,54,14.3,917.3,71,9.0,26.3,0.0,0.0,2
2024-01-01T11:00,25.9,45,13.0,916.8,82,7.0,23.4,0.0,0.0,3
2024-01-01T12:00,27.2,40,12.2,915.9,59,5.2,20.9,0.0,0.0,2
2024-01-01T13:00,28.0,36,11.6,914.7,76,6.2,19.8,0.0,0.0,2
2024-01-01T14:00,28.4,34,11.1,913.7,64,7.6,20.9,0.0,0.0,2
2024-01-01T15:00,28.4,34,10.9,913.4,15,9.7,22.3,0.0,0.0,0
2024-01-01T16:00,27.7,35,10.9,913.3,45,11.6,23.0,0.0,0.0,1
2024-01-01T17:00,26.1,38,10.8,913.2,83,12.4,23.4,0.0,0.0,3
2024-01-01T18:00,23.2,51,12.6,914.1,100,12.7,22.0,0.0,0.0,3
2024-01-01T19:00,22.4,55,13.1,915.1,100,14.7,24.1,0.0,0.0,3
2024-01-01T20:00,21.4,60,13.2,915.3,100,14.8,24.1,0.0,0.0,3
2024-01-01T21:00,20.7,63,13.4,915.6,100,19.1,31.3,0.0,0.0,3
2024-01-01T22:00,20.5,68,14.4,915.3,100,17.9,32.4,0.0,0.0,3
2024-01-01T23:00,20.2,73,15.2,914.7,100,17.0,29.9,0.0,0.0,3
2024-01-02T00:00,19.8,77,15.6,914.0,100,17.7,29.2,0.0,0.0,3
2024-01-02T01:00,18.7,89,16.8,913.4,100,18.8,32.0,0.0,0.0,3
2024-01-02T02:00,18.4,92,17.0,912.9,100,16.9,31.7,0.0,0.0,3
2024-01-02T03:00,18.6,89,16.7,912.8,100,14.8,28.4,0.0,0.0,3
2024-01-02T04:00,18.3,90,16.6,913.0,100,14.4,25.9,0.0,0.0,3
2024-01-02T05:00,18.2,89,16.3,913.3,100,13.5,24.8,0.0,0.0,3
2024-01-02T06:00,18.6,87,16.4,914.3,100,13.8,25.6,0.0,0.0,3
2024-01-02T07:00,18.7,85,16.2,914.9,95,12.0,24.1,0.0,0.0,3
2024-01-02T08:00,19.7,80,16.1,915.7,98,13.1,24.5,0.0,0.0,3
2024-01-02T09:00,20.9,73,15.8,916.0,90,13.7,27.4,0.0,0.0,3
2024-01-02T10:00,22.7,64,15.5,916.1,88,11.6,28.1,0.0,0.0,3
2024-01-02T11:00,24.9,52,14.2,915.8,99,10.5,26.3,0.0,0.0,3
2024-01-02T12:00,26.4,44,13.0,915.0,100,11.6,28.1,0.0,0.0,3
2024-01-02T13:00,27.2,41,12.6,913.8,100,12.0,28.1,0.0,0.0,3
2024-01-02T14:00,27.6,39,12.4,912.9,99,12.8,28.1,0.0,0.0,3
2024-01-02T15:00,27.3,40,12.4,912.5,98,12.6,28.1,0.0,0.0,3
2024-01-02T16:00,26.5,42,12.7,912.5,100,13.0,26.6,0.0,0.0,3
2024-01-02T17:00,25.3,46,12.8,912.8,97,12.8,24.8,0.0,0.0,3
2024-01-02T18:00,23.5,46,11.2,913.6,77,10.1,19.4,0.0,0.0,2
2024-01-02T19:00,22.5,55,12.9,914.5,99,13.7,22.3,0.0,0.0,3
2024-01-02T20:00,21.7,60,13.7,914.9,92,15.0,25.2,0.0,0.0,3
2024-01-02T21:00,20.8,65,14.1,915.1,75,17.9,29.5,0.0,0.0,2
2024-01-02T22:00,20.2,69,14.3,914.9,100,18.4,30.6,0.0,0.0,3
2024-01-02T23:00,19.8,73,14.9,914.5,100,16.9,30.6,0.0,0.0,3
2024-01-03T00:00,19.4,79,15.6,913.9,94,16.0,28.4,0.0,0.0,3
2024-01-03T01:00,18.6,85,16.0,913.2,100,15.2,26.6,0.0,0.0,3
2024-01-03T02:00,18.1,88,16.1,912.5,100,13.8,25.9,0.0,0.0,3
2024-01-03T03:00,17.8,89,15.9,912.1,12,13.8,23.8,0.0,0.0,0
2024-01-03T04:00,16.9,93,15.8,911.8,2,13.1,23.4,0.0,0.0,0
2024-01-03T05:00,16.4,96,15.7,912.2,25,14.2,23.4,0.0,0.0,1
2024-01-03T06:00,17.3,90,15.7,913.1,100,13.3,23.0,0.0,0.0,3
2024-01-03T07:00,17.8,87,15.6,914.1,97,14.7,25.9,0.0,0.0,3
2024-01-03T08:00,18.8,81,15.4,915.2,33,15.0,28.1,0.0,0.0,1
2024-01-03T09:00,21.1,69,15.3,916.0,38,13.2,29.2,0.0,0.0,1
2024-01-03T10:00,22.9,61,15.0,916.2,28,11.7,27.7,0.0,0.0,1
2024-01-03T11:00,24.7,54,14.6,915.8,9,10.3,27.0,0.0,0.0,0
2024-01-03T12:00,25.9,48,14.2,914.8,8,8.4,25.2,0.0,0.0,0
2024-01-03T13:00,26.8,43,13.4,913.7,60,8.9,23.8,0.0,0.0,2
2024-01-03T14:00,27.2,41,12.9,913.0,100,9.7,23.8,0.0,0.0,3
2024-01-03T15:00,27.4,40,12.7,912.6,100,8.6,23.8,0.0,0.0,3
2024-01-03T16:00,26.7,42,12.6,912.2,100,10.2,21.2,0.0,0.0,3
2024-01-03T17:00,25.5,45,12.6,912.4,100,13.4,24.1,0.0,0.0,3
2024-01-03T18:00,23.0,52,12.6,912.6,88,7.9,18.7,0.0,0.0,3
2024-01-03T19:00,22.7,53,12.6,913.2,100,9.5,14.8,0.0,0.0,3
2024-01-03T20:00,21.7,64,14.6,913.8,100,15.9,26.6,0.0,0.0,3
2024-01-03T21:00,21.1,72,15.8,914.0,98,14.5,26.6,0.0,0.0,3
2024-01-03T22:00,20.4,80,16.8,913.9,58,16.9,28.1,0.0,0.0,2
2024-01-03T23:00,19.5,87,17.4,913.7,37,15.3,28.4,0.0,0.0,1
2024-01-04T00:00,19.0,91,17.5,913.0,37,15.3,25.9,0.0,0.0,1
2024-01-04T01:00,18.6,94,17.5,912.4,39,15.7,25.9,0.0,0.0,1
2024-01-04T02:00,18.2,95,17.5,911.7,71,14.7,26.3,0.0,0.0,2
2024-01-04T03:00,18.2,96,17.5,912.0,100,12.7,24.1,0.0,0.0,3
2024-01-04T04:00,18.5,93,17.3,912.2,100,14.8,24.8,0.0,0.0,3
2024-01-04T05:00,18.6,91,17.0,912.6,100,14.8,25.9,0.0,0.0,3
2024-01-04T06:00,19.4,84,16.7,913.9,99,14.8,25.9,0.1,0.1,51
2024-01-04T07:00,19.2,88,17.2,914.6,71,14.2,25.6,1.8,1.8,61
2024-01-04T08:00,19.9,85,17.3,915.4,91,17.7,30.6,0.5,0.5,53
2024-01-04T09:00,20.9,78,17.0,915.8,99,16.5,32.0,0.1,0.1,51
2024-01-04T10:00,21.7,73,16.7,915.8,77,14.7,30.6,0.2,0.2,51
2024-01-04T11:00,24.4,60,16.1,915.6,100,13.7,29.2,0.0,0.0,3
2024-01-04T12:00,24.8,58,15.9,914.4,100,13.4,29.5,0.0,0.0,3
2024-01-04T13:00,25.4,54,15.6,913.3,100,11.2,27.7,0.0,0.0,3
2024-01-04T14:00,25.5,54,15.6,912.5,100,11.5,24.8,0.0,0.0,3
